Sl_No,Customer Key,Avg_Credit_Limit,Total_Credit_Cards,Total_visits_bank,Total_visits_online,Total_calls_made,Cluster
222,73811,7000,2,2,5,6,2
223,72892,20000,4,1,3,10,2
224,51773,20000,2,2,4,10,2
225,96163,12000,4,1,5,9,2
226,61234,16000,4,1,2,5,2
227,55849,8000,1,2,4,8,2
228,56156,8000,2,2,3,8,2
229,54838,10000,7,2,0,0,0
230,35254,8000,7,2,1,4,0
231,46635,17000,4,5,0,2,0
232,97825,19000,6,3,2,3,0
233,83125,20000,5,4,1,0,0
234,35483,13000,7,2,1,0,0
235,15129,16000,6,5,0,4,0
236,83290,13000,7,4,0,0,0
237,56486,8000,7,5,2,3,0
238,31903,8000,6,4,0,4,0
239,45909,19000,5,2,2,0,0
240,14263,16000,5,2,0,0,0
241,46813,20000,4,2,2,1,0
242,81878,10000,4,5,1,3,0
243,35549,8000,4,3,2,4,0
244,85799,12000,6,4,2,1,0
245,39122,5000,7,3,2,4,0
246,81531,10000,4,2,1,0,0
247,69965,7000,4,5,0,1,0
248,18595,19000,7,3,1,2,0
249,44398,11000,6,5,1,0,0
250,32352,9000,6,5,2,0,0
251,40898,18000,6,3,1,4,0
252,27101,18000,6,2,1,2,0
253,33457,9000,4,5,0,4,0
254,45088,18000,6,2,1,4,0
255,23302,16000,4,3,1,0,0
256,27408,7000,5,5,2,3,0
257,65372,13000,7,3,1,4,0
258,21531,10000,6,4,2,3,0
259,56843,12000,6,3,2,1,0
260,17165,6000,4,4,1,4,0
261,89328,15000,4,5,1,0,0
262,20072,18000,5,3,0,4,0
263,71402,14000,5,4,2,1,0
264,47496,14000,4,2,0,0,0
265,24808,17000,4,4,1,2,0
266,17036,9000,7,4,2,1,0
267,67193,20000,7,5,0,0,0
268,34423,15000,6,4,0,1,0
269,97109,17000,6,5,0,0,0
270,55382,16000,5,5,1,2,0
271,51811,10000,4,5,2,1,0
272,53936,7000,7,2,0,4,0
273,66504,17000,6,2,2,4,0
274,53207,18000,6,5,2,1,0
275,18514,10000,5,5,1,3,0
276,51319,16000,6,2,1,3,0
277,36340,15000,4,5,2,0,0
278,36934,17000,4,5,0,4,0
279,95925,10000,7,4,2,4,0
280,49771,6000,6,5,2,1,0
281,22919,7000,6,4,1,2,0
282,21233,14000,7,2,0,0,0
283,74544,6000,6,3,1,1,0
284,52025,7000,4,3,1,0,0
285,45652,12000,7,2,1,2,0
286,73952,11000,5,5,2,4,0
287,49418,8000,4,5,0,0,0
288,77026,19000,7,2,0,1,0
289,49331,7000,5,2,2,4,0
290,75775,7000,6,5,2,2,0
291,54906,18000,6,3,1,0,0
292,94666,5000,7,3,2,2,0
293,11698,17000,4,3,0,4,0
294,34677,6000,5,2,1,0,0
295,95610,7000,6,5,2,3,0
296,41380,10000,6,4,2,3,0
297,38033,11000,4,4,0,2,0
298,85337,7000,7,4,0,0,0
299,38994,12000,6,5,0,2,0
300,67911,9000,6,5,2,3,0
301,92956,15000,6,5,0,0,0
302,77641,8000,6,4,2,4,0
303,57565,17000,4,2,2,2,0
304,53814,13000,4,5,2,2,0
305,30712,16000,4,4,2,4,0
306,19785,19000,6,5,1,4,0
307,31384,19000,6,3,0,0,0
308,16374,8000,5,3,2,1,0
309,50878,10000,4,5,0,3,0
310,78002,14000,6,5,2,3,0
311,83459,5000,4,5,0,1,0
312,91987,10000,6,3,0,0,0
313,51552,5000,7,3,1,4,0
314,72156,7000,4,2,2,4,2
315,24998,12000,7,3,1,2,0
316,45673,19000,4,3,1,3,0
317,11596,18000,6,4,0,2,0
318,87485,5000,5,5,0,4,0
319,28414,14000,6,4,0,3,0
320,81863,8000,6,2,0,3,0
321,33240,12000,6,5,2,1,0
322,11466,9000,7,5,0,0,0
323,23881,8000,6,3,1,2,0
324,44645,6000,4,2,2,2,0
325,49844,9000,4,5,0,4,0
326,92782,14000,4,4,2,3,0
327,22824,6000,4,4,2,3,0
328,26767,11000,5,5,1,1,0
329,26678,14000,4,4,2,1,0
330,50412,5000,7,4,2,4,0
331,17933,19000,6,3,1,2,0
332,34495,18000,6,5,2,0,0
333,47437,17000,7,3,1,0,0
334,22610,15000,5,4,2,2,0
335,41159,8000,7,4,2,0,0
336,64672,19000,6,5,2,0,0
337,62483,12000,4,4,2,1,0
338,85614,6000,7,2,0,4,0
339,96548,20000,6,2,0,1,0
340,19137,10000,6,3,1,1,0
341,69028,7000,6,3,1,1,0
342,70779,18000,4,3,2,0,0
343,38244,9000,6,4,2,3,0
344,67046,6000,5,3,2,4,0
345,64897,16000,5,2,2,1,0
346,46223,14000,7,4,2,1,0
347,36628,19000,6,3,0,1,0
348,17565,5000,6,2,0,3,0
349,77381,18000,4,4,2,3,0
350,11799,11000,7,3,2,3,0
351,81940,11000,5,2,0,2,0
352,66706,12000,7,2,0,1,0
353,87838,15000,5,2,0,0,0
354,94437,9000,5,4,1,3,0
355,33790,9000,7,4,0,2,0
356,44402,10000,5,5,1,4,0
357,29886,16000,6,5,1,1,0
358,66804,7000,4,4,2,2,0
359,47866,9000,5,2,2,0,0
360,61996,8000,4,2,0,2,0
361,15318,14000,6,3,0,1,0
362,89635,18000,6,3,1,4,0
363,71681,20000,5,5,2,1,0
364,71862,6000,5,2,0,1,0
365,96186,13000,6,4,2,3,0
366,22348,13000,7,5,0,2,0
367,36243,17000,7,5,0,3,0
368,88807,8000,4,3,2,1,0
369,82376,20000,4,3,0,3,0
370,98126,19000,6,4,1,3,0
371,80347,11000,5,3,2,3,0
372,17649,6000,5,2,2,1,0
373,62807,17000,6,5,1,1,0
374,92522,6000,4,5,0,1,0
375,57459,18000,6,5,0,4,0
376,44579,16000,6,3,1,3,0
377,45476,13000,5,4,1,2,0
378,61994,19000,5,2,0,4,0
379,11398,12000,6,5,2,1,0
380,24702,6000,7,2,0,3,0
381,27824,13000,7,2,0,4,0
382,45878,19000,4,2,0,1,0
383,72431,6000,6,3,2,3,0
384,19215,18000,5,3,1,3,0
385,23409,8000,4,4,0,0,0
386,16418,8000,7,4,2,0,0
387,85122,18000,5,2,2,2,0
388,55060,8000,7,3,0,3,0
389,55478,12000,5,4,2,1,0
390,65574,11000,4,5,0,3,0
391,31113,11000,4,2,0,4,0
392,96929,13000,4,5,0,0,0
393,78912,6000,4,4,0,0,0
394,68439,20000,4,2,0,1,0
395,62864,13000,7,4,0,1,0
396,31515,5000,4,5,0,1,0
397,77954,73000,6,4,2,0,0
398,88207,49000,5,3,2,0,0
399,96929,67000,6,2,2,2,0
400,78618,61000,7,3,0,1,0
401,31551,75000,7,3,2,4,0
402,75792,48000,4,4,0,3,0
403,29864,56000,4,2,0,2,0
404,45440,72000,4,3,2,1,0
405,97954,70000,7,2,0,4,0
406,90189,51000,7,3,0,4,0
407,55090,73000,6,2,0,2,0
408,17703,50000,5,4,0,1,0
409,33991,49000,5,3,0,1,0
410,88884,69000,7,2,2,2,0
411,45808,40000,5,2,2,2,0
412,50706,44000,4,5,0,2,0
413,92140,31000,6,5,2,1,0
414,88123,37000,7,5,0,1,0
415,53932,65000,4,3,0,3,0
416,65908,48000,7,3,2,3,0
417,25321,46000,5,2,2,3,0
418,87456,61000,5,5,1,4,0
419,48602,74000,5,2,0,0,0
420,97530,58000,6,4,0,1,0
421,48657,39000,5,3,2,2,0
422,76209,70000,5,5,0,4,0
423,49913,56000,6,3,1,0,0
424,53002,52000,5,3,0,3,0
425,61122,33000,5,4,2,0,0
426,82807,47000,6,2,0,4,0
427,93496,71000,7,2,0,2,0
428,64519,50000,7,5,2,2,0
429,31950,56000,4,4,0,3,0
430,23110,41000,4,4,1,0,0
431,96297,71000,6,4,0,0,0
432,28408,72000,6,5,2,3,0
433,37252,59000,6,2,1,2,0
434,41287,64000,6,3,2,3,0
435,52460,45000,4,2,1,2,0
436,26604,74000,4,5,0,3,0
437,58019,73000,4,2,1,1,0
438,87219,54000,6,3,0,2,0
439,36839,31000,7,2,1,4,0
440,12663,66000,7,4,0,3,0
441,48667,50000,5,3,0,3,0
442,42887,27000,6,2,1,3,0
443,14439,51000,4,3,0,3,0
444,60851,65000,6,5,2,3,0
445,41266,67000,6,5,2,0,0
446,37438,43000,7,5,0,4,0
447,65747,70000,5,4,0,2,0
448,81166,61000,5,2,2,1,0
449,20570,31000,4,4,2,1,0
450,14816,36000,4,3,2,3,0
451,11265,51000,7,3,2,0,0
452,24980,36000,4,4,2,2,0
453,37934,50000,5,4,2,3,0
454,70707,74000,4,4,0,3,0
455,84351,25000,4,3,0,2,0
456,89446,47000,6,2,0,4,0
457,17325,41000,6,5,2,3,0
458,64774,57000,5,2,0,4,0
459,53166,67000,7,2,1,3,0
460,45341,74000,7,4,2,4,0
461,94595,26000,6,4,2,3,0
462,55170,38000,4,4,2,3,0
463,92489,75000,4,4,0,1,0
464,92933,38000,4,5,1,4,0
465,36504,52000,4,2,1,2,0
466,40508,48000,5,5,0,2,0
467,15798,70000,6,2,0,3,0
468,70101,36000,4,4,2,1,0
469,77613,36000,5,5,0,4,0
470,84360,66000,6,2,1,1,0
471,48402,37000,5,5,1,4,0
472,46776,48000,6,3,2,2,0
473,67258,35000,6,3,1,4,0
474,44804,26000,6,3,1,2,0
475,29919,38000,4,3,1,4,0
476,65781,45000,5,5,2,2,0
477,12456,70000,6,5,0,4,0
478,62649,51000,7,5,2,4,0
479,74446,34000,6,3,2,1,0
480,36632,47000,7,3,2,2,0
481,76024,47000,6,2,0,0,0
482,75065,30000,7,3,1,0,0
483,51682,74000,4,2,0,4,0
484,18397,30000,5,4,1,1,0
485,29102,28000,5,4,1,1,0
486,56367,58000,7,3,2,1,0
487,95147,64000,4,2,2,2,0
488,44379,39000,7,5,2,1,0
489,76957,44000,6,4,0,2,0
490,42921,50000,7,5,2,1,0
491,23102,65000,4,2,0,0,0
492,61324,63000,4,5,0,0,0
493,49690,50000,6,4,2,0,0
494,20043,35000,6,2,1,4,0
495,44144,29000,4,3,0,1,0
496,53552,56000,7,3,0,3,0
497,62530,49000,5,3,2,3,0
498,41741,52000,4,2,1,2,0
499,22842,31000,4,4,1,0,0
500,65825,68000,6,4,2,2,0
501,77826,41000,5,4,0,4,0
502,61216,38000,6,3,1,0,0
503,83192,54000,6,2,2,4,0
504,82023,70000,6,3,0,0,0
505,73000,34000,6,5,1,0,0
506,64550,68000,5,2,0,2,0
507,90131,26000,6,5,2,3,0
508,17382,42000,6,3,2,0,0
509,27117,59000,7,2,0,3,0
510,94529,30000,4,4,2,1,0
511,21717,33000,6,2,2,2,0
512,81910,49000,6,2,0,2,0
513,76492,62000,6,2,1,3,0
514,43000,40000,5,3,1,4,0
515,48692,30000,5,2,2,3,0
516,27476,37000,4,4,2,2,0
517,15086,32000,7,4,0,3,0
518,43034,62000,4,2,2,3,0
519,99131,36000,7,4,0,2,0
520,13140,57000,7,2,0,0,0
521,99437,39000,6,4,0,4,0
522,91242,70000,4,3,2,2,0
523,39285,36000,7,5,0,0,0
524,63710,69000,6,3,0,2,0
525,90860,59000,7,3,2,4,0
526,35585,71000,5,4,1,0,0
527,58708,29000,4,2,2,3,0
528,57451,37000,5,2,1,3,0
529,69868,34000,4,3,0,1,0
530,43679,34000,6,3,2,4,0
531,30256,38000,4,3,0,0,0
532,26334,32000,4,3,2,2,0
533,47848,48000,4,3,2,2,0
534,17377,36000,6,3,0,3,0
535,39644,56000,6,4,0,3,0
536,29176,28000,4,5,1,3,0
537,55706,48000,4,4,1,0,0
538,51771,68000,7,3,1,4,0
539,83585,74000,7,4,1,3,0
540,51867,70000,4,4,1,0,0
541,68040,45000,7,2,0,3,0
542,50706,60000,7,5,2,2,0
543,75417,47000,5,5,1,2,0
544,34775,60000,5,2,1,0,0
545,85645,54000,6,3,1,2,0
546,83545,28000,7,5,0,4,0
547,44157,68000,7,2,1,4,0
548,38125,26000,4,5,2,4,0
549,75398,56000,4,3,0,4,0
550,90999,39000,7,5,2,3,0
551,70376,59000,7,5,2,3,0
552,33295,37000,7,2,1,1,0
553,80942,65000,7,3,2,1,0
554,26493,41000,7,4,1,3,0
555,97850,33000,5,2,2,0,0
556,43841,52000,4,5,0,4,0
557,79885,60000,4,5,0,4,0
558,59316,62000,7,4,1,4,0
559,83466,40000,6,5,1,2,0
560,81510,41000,7,5,2,3,0
561,35268,46000,6,3,1,0,0
562,11734,29000,7,5,0,2,0
563,88411,56000,7,3,0,1,0
564,96269,69000,5,4,1,0,0
565,87683,36000,7,4,0,0,0
566,26063,69000,6,5,0,1,0
567,42479,38000,6,5,0,1,0
568,58116,29000,7,3,1,1,0
569,67282,58000,6,5,1,0,0
570,84888,72000,6,4,1,0,0
571,75366,64000,4,2,1,1,0
572,14377,36000,7,2,0,4,0
573,59074,71000,7,4,0,2,0
574,96534,66000,7,2,2,3,0
575,31870,70000,4,3,2,0,0
576,24748,73000,5,3,0,4,0
577,68920,30000,6,3,1,1,0
578,67637,44000,5,3,0,4,0
579,60839,39000,7,5,0,3,0
580,59170,65000,4,3,0,0,0
581,90586,52000,4,5,2,1,0
582,56270,26000,6,5,1,4,0
583,87670,68000,6,5,1,0,0
584,47703,52000,6,2,0,0,0
585,35421,34000,6,4,1,3,0
586,58511,39000,7,4,0,4,0
587,76398,31000,7,3,0,2,0
588,93310,70000,4,3,0,4,0
589,36836,55000,4,3,1,0,0
590,46373,29000,4,5,0,2,0
591,94700,36000,6,2,2,3,0
592,67860,68000,5,2,1,4,0
593,99473,54000,5,4,2,1,0
594,68862,66000,4,5,1,1,0
595,93381,60000,4,2,1,4,0
596,46548,41000,7,4,2,2,0
597,74083,42000,6,4,2,0,0
598,48660,38000,7,5,2,1,0
599,13720,64000,5,4,1,2,0
600,72339,57000,6,2,2,0,0
601,99284,68000,7,5,0,0,0
602,47198,33000,5,4,0,2,0
603,67415,37000,7,4,0,1,0
604,44403,60000,6,3,2,3,0
605,58276,27000,7,3,0,2,0
606,85234,36000,5,2,2,3,0
607,31948,63000,5,3,1,3,0
608,90191,34000,6,3,1,0,0
609,49341,47000,4,4,1,0,0
610,11562,38000,4,3,2,0,0
611,16253,39000,7,2,1,0,0
612,80623,46000,7,4,1,3,0
613,94391,157000,9,1,14,1,1
614,50598,94000,9,1,11,0,1
615,40019,163000,8,1,7,1,1
616,77910,131000,9,1,10,1,1
617,89832,96000,10,1,11,2,1
618,98216,136000,8,0,13,0,1
619,54495,121000,7,0,13,2,1
620,47650,158000,7,0,13,0,1
621,32107,108000,10,0,15,1,1
622,84192,166000,9,1,12,2,1
623,53916,176000,10,1,15,2,1
624,32584,166000,10,0,7,0,1
625,97285,178000,7,0,11,0,1
626,20337,91000,8,1,6,1,1
627,15585,156000,9,1,10,2,1
628,20620,146000,10,0,12,1,1
629,75009,84000,9,1,15,0,1
630,76203,155000,8,0,7,2,1
631,33837,200000,10,0,13,0,1
632,14916,195000,8,0,15,0,1
633,97935,187000,7,1,7,0,1
634,16180,163000,7,1,10,1,1
635,49493,106000,8,0,8,1,1
636,70974,114000,10,1,7,2,1
637,40217,126000,10,1,8,0,1
638,88442,173000,9,1,11,0,1
639,17538,153000,8,1,7,1,1
640,90839,184000,7,1,15,2,1
641,99843,123000,8,1,15,2,1
642,27212,144000,10,0,10,2,1
643,91575,97000,10,1,9,2,1
644,60190,98000,9,0,8,2,1
645,18519,127000,10,1,15,1,1
646,48762,171000,10,0,15,0,1
647,58392,186000,7,0,8,1,1
648,79953,183000,9,0,9,2,1
649,13315,111000,8,1,7,0,1
650,30570,112000,10,1,8,1,1
651,78996,195000,10,1,12,2,1
652,78404,132000,9,1,12,2,1
653,28525,156000,8,1,8,0,1
654,51826,95000,10,0,15,1,1
655,65750,172000,10,1,9,1,1
656,51108,99000,10,1,10,0,1
657,60732,84000,10,1,13,2,1
658,53834,145000,8,1,9,1,1
659,80655,172000,10,1,15,0,1
660,80150,167000,9,0,12,2,1
